SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12 %;PF 12 %  ALC;PF 17 %;PF 17 %  ALC;PF 17,5 %;PF 17,5 %  ALC;PF 18 %;PF 18 %  ALC;PF 19 %;PF 19 %  ALC;PF 19,5 %;PF 19,5 %  ALC;PF 20 %;PF 20 %  ALC;PF 20,5 %;PF 20,5 %  ALC;PF 21 %;PF 21 %  ALC;PF 22 %;PF 22 %  ALC;PF 22,5 %;PF 22,5 %  ALC;PF 23 %;PF 23 %  ALC;PMC Sem Impostos;PMC 0 %;PMC 12 %;PMC 12 %  ALC;PMC 17 %;PMC 17 %  ALC;PMC 17,5 %;PMC 17,5 %  ALC;PMC 18 %;PMC 18 %  ALC;PMC 19 %;PMC 19 %  ALC;PMC 19,5 %;PMC 19,5 %  ALC;PMC 20 %;PMC 20 %  ALC;PMC 20,5 %;PMC 20,5 %  ALC;PMC 21 %;PMC 21 %  ALC;PMC 22 %;PMC 22 %  ALC;PMC 22,5 %;PMC 22,5 %  ALC;PMC 23 %;PMC 23 %  ALC;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2025;TARJA;DESTINAÇÃO COMERCIAL
ACECLOFENACO;61.190.096/0001-92;EUROFARMA LABORATORIOS S.A.;508011305115313;1004308170091;7891317440312;    -     ;    -     ;PROFLAM;100 MG COM REV CT BL AL / AL X 6;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Novo;Regulado;24,10;24,39;27,72;27,38;29,39;29,03;29,56;29,21;29,74;29,39;30,11;29,75;30,30;29,93;30,49;30,12;30,68;30,31;30,87;30,50;31,27;30,89;31,47;31,09;31,68;31,30;33,31;33,62;38,21;37,85;40,51;40,13;40,75;40,38;40,99;40,63;41,50;41,13;41,77;41,38;42,03;41,64;42,29;41,90;42,55;42,16;43,10;42,70;43,38;42,98;43,67;43,27;Não;Não;Não;Não;;Positiva;Não;- (*) ;
ACECLOFENACO;61.190.096/0001-92;EUROFARMA LABORATORIOS S.A.;508022060163106;1004313070030;7891317020002;    -     ;    -     ;ACECLOFENACO;100 MG COM REV CT BL AL/AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;31,93;32,32;36,73;36,29;38,94;38,47;39,18;38,71;39,41;38,94;39,90;39,42;40,15;39,67;40,40;39,92;40,65;40,17;40,91;40,42;41,44;40,94;41,70;41,20;41,97;41,47;44,14;44,55;50,63;50,17;53,67;53,18;54,01;53,51;54,32;53,83;55,00;54,50;55,34;54,84;55,69;55,19;56,03;55,53;56,39;55,88;57,12;56,60;57,48;56,96;57,85;57,33;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
ACECLOFENACO;57.507.378/0003-65;EMS S/A;541812070001306;1023510530049;7896004722122;    -     ;    -     ;ACECLOFENACO;100 MG  COM  REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;32,51;32,90;37,39;36,94;39,64;39,16;39,88;39,40;40,12;39,64;40,62;40,13;40,87;40,38;41,13;40,63;41,38;40,89;41,65;41,15;42,18;41,67;42,45;41,94;42,73;42,21;44,94;45,35;51,54;51,07;54,64;54,14;54,97;54,47;55,30;54,80;55,99;55,48;56,34;55,82;56,69;56,17;57,04;56,53;57,41;56,89;58,14;57,61;58,51;57,98;58,90;58,35;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
ACECLOFENACO;30.222.814/0001-31;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;533514080027106;1039201720011;7898049795260;    -     ;    -     ;ACECLOFENACO;100 MG COM REV CT ENV AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;29,35;29,71;33,76;33,36;35,80;35,37;36,01;35,58;36,23;35,80;36,68;36,24;36,91;36,46;37,14;36,69;37,37;36,92;37,61;37,16;38,09;37,63;38,34;37,88;38,58;38,12;40,58;40,95;46,53;46,12;49,35;48,90;49,64;49,19;49,94;49,49;50,56;50,10;50,88;50,40;51,19;50,72;51,51;51,04;51,84;51,37;52,50;52,02;52,85;52,37;53,18;52,70;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
ACECLOFENACO;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;526127601169113;1058305410031;7896004716541;    -     ;    -     ;ACECLOFENACO;15 MG/G CREM DERM CT BG AL X 30 G ;M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS;Genérico;Liberado;21,18;23,72;26,95;24,07;28,58;25,52;28,75;25,67;28,93;25,83;29,28;26,15;29,47;26,31;29,65;26,47;29,84;26,64;30,03;26,81;30,41;27,15;30,61;27,33;30,81;27,50;29,28;31,82;36,15;33,28;38,34;35,28;38,57;35,49;38,81;35,71;39,28;36,15;39,53;36,37;39,77;36,59;40,03;36,83;40,28;37,06;40,79;37,53;41,06;37,78;41,33;38,02;Não;Não;Não;Não;;Negativa;Sim;- (*) ;
ACECLOFENACO;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;526112070085006;1058307420040;7896004722146;    -     ;    -     ;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;30,74;31,11;35,35;34,93;37,48;37,03;37,71;37,26;37,94;37,48;38,41;37,95;38,65;38,18;38,89;38,42;39,13;38,66;39,38;38,91;39,88;39,41;40,14;39,66;40,40;39,92;42,49;42,88;48,73;48,29;51,66;51,19;51,98;51,51;52,30;51,81;52,94;52,46;53,27;52,78;53,61;53,11;53,94;53,45;54,28;53,79;54,97;54,48;55,33;54,83;55,69;55,19;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
ACECLOFENACO;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;526112070085106;1058307420083;7896004722153;    -     ;    -     ;ACECLOFENACO;100 MG COM REV CT BL AL AL X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;61,40;62,15;70,63;69,78;74,88;73,98;75,33;74,43;75,79;74,88;76,73;75,81;77,20;76,28;77,69;76,76;78,18;77,24;78,67;77,73;79,68;78,72;80,19;79,23;80,71;79,75;84,89;85,67;97,36;96,47;103,21;102,27;103,83;102,90;104,47;103,52;105,76;104,80;106,41;105,45;107,09;106,12;107,76;106,78;108,44;107,46;109,83;108,83;110,53;109,53;111,25;110,25;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023010081117;1181902820026;7895296118064;    -     ;    -     ;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;32,51;32,90;37,39;36,94;39,64;39,16;39,88;39,40;40,12;39,64;40,62;40,13;40,87;40,38;41,13;40,63;41,38;40,89;41,65;41,15;42,18;41,67;42,45;41,94;42,73;42,21;44,94;45,35;51,54;51,07;54,64;54,14;54,97;54,47;55,30;54,80;55,99;55,48;56,34;55,82;56,69;56,17;57,04;56,53;57,41;56,89;58,14;57,61;58,51;57,98;58,90;58,35;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023010081217;1181902820042;7895296118088;    -     ;    -     ;ACECLOFENACO;100 MG COM REV CT BL AL AL X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;65,04;65,83;74,81;73,91;79,31;78,36;79,79;78,84;80,28;79,32;81,27;80,30;81,78;80,80;82,29;81,30;82,81;81,81;83,33;82,33;84,40;83,38;84,94;83,92;85,49;84,47;89,91;90,74;103,12;102,18;109,32;108,33;109,98;108,99;110,66;109,66;112,02;111,01;112,73;111,70;113,43;112,39;114,14;113,10;114,86;113,82;116,34;115,27;117,08;116,01;117,84;116,77;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023030087417;1181903020015;7895296444965;    -     ;    -     ;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 6 ;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;Regulado;16,27;16,47;18,72;18,49;19,84;19,61;19,96;19,72;20,09;19,84;20,33;20,09;20,46;20,21;20,59;20,34;20,72;20,47;20,85;20,60;21,12;20,86;21,25;21,00;21,39;21,13;22,50;22,70;25,80;25,56;27,35;27,11;27,51;27,26;27,69;27,43;28,02;27,77;28,20;27,94;28,38;28,12;28,56;28,30;28,74;28,48;29,11;28,84;29,29;29,03;29,48;29,21;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023030087617;1181903020023;7895296444972;    -     ;    -     ;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;Regulado;32,51;32,90;37,39;36,94;39,64;39,16;39,88;39,40;40,12;39,64;40,62;40,13;40,87;40,38;41,13;40,63;41,38;40,89;41,65;41,15;42,18;41,67;42,45;41,94;42,73;42,21;44,94;45,35;51,54;51,07;54,64;54,14;54,97;54,47;55,30;54,80;55,99;55,48;56,34;55,82;56,69;56,17;57,04;56,53;57,41;56,89;58,14;57,61;58,51;57,98;58,90;58,35;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023030087117;1181903020031;7895296444989;    -     ;    -     ;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 16;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;Regulado;43,35;43,88;49,86;49,27;52,87;52,23;53,19;52,55;53,51;52,87;54,17;53,52;54,51;53,86;54,85;54,19;55,19;54,53;55,54;54,88;56,26;55,58;56,62;55,94;56,99;56,30;59,93;60,48;68,73;68,11;72,88;72,20;73,32;72,65;73,76;73,09;74,67;73,99;75,14;74,46;75,61;74,91;76,07;75,38;76,56;75,87;77,55;76,84;78,04;77,33;78,55;77,83;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023030087217;1181903020041;7895296444996;    -     ;    -     ;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;Regulado;65,04;65,83;74,81;73,91;79,31;78,36;79,79;78,84;80,28;79,32;81,27;80,30;81,78;80,80;82,29;81,30;82,81;81,81;83,33;82,33;84,40;83,38;84,94;83,92;85,49;84,47;89,91;90,74;103,12;102,18;109,32;108,33;109,98;108,99;110,66;109,66;112,02;111,01;112,73;111,70;113,43;112,39;114,14;113,10;114,86;113,82;116,34;115,27;117,08;116,01;117,84;116,77;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023030087517;1181903020058;7895296444934;    -     ;    -     ;ACEFLOR;100 MG  COM  REV CT BL AL AL X 6;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;Regulado;16,27;16,47;18,72;18,49;19,84;19,61;19,96;19,72;20,09;19,84;20,33;20,09;20,46;20,21;20,59;20,34;20,72;20,47;20,85;20,60;21,12;20,86;21,25;21,00;21,39;21,13;22,50;22,70;25,80;25,56;27,35;27,11;27,51;27,26;27,69;27,43;28,02;27,77;28,20;27,94;28,38;28,12;28,56;28,30;28,74;28,48;29,11;28,84;29,29;29,03;29,48;29,21;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023030087717;1181903020066;7895296309011;    -     ;    -     ;ACEFLOR;100 MG  COM  REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;Regulado;32,51;32,90;37,39;36,94;39,64;39,16;39,88;39,40;40,12;39,64;40,62;40,13;40,87;40,38;41,13;40,63;41,38;40,89;41,65;41,15;42,18;41,67;42,45;41,94;42,73;42,21;44,94;45,35;51,54;51,07;54,64;54,14;54,97;54,47;55,30;54,80;55,99;55,48;56,34;55,82;56,69;56,17;57,04;56,53;57,41;56,89;58,14;57,61;58,51;57,98;58,90;58,35;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023030087017;1181903020074;7895296444941;    -     ;    -     ;ACEFLOR;100 MG  COM  REV CT BL AL AL X 16 ;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;Regulado;43,35;43,88;49,86;49,27;52,87;52,23;53,19;52,55;53,51;52,87;54,17;53,52;54,51;53,86;54,85;54,19;55,19;54,53;55,54;54,88;56,26;55,58;56,62;55,94;56,99;56,30;59,93;60,48;68,73;68,11;72,88;72,20;73,32;72,65;73,76;73,09;74,67;73,99;75,14;74,46;75,61;74,91;76,07;75,38;76,56;75,87;77,55;76,84;78,04;77,33;78,55;77,83;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha;
ACECLOFENACO;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023030087317;1181903020082;7895296444958;    -     ;    -     ;ACEFLOR;100 MG  COM  REV CT BL AL AL X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;Regulado;65,04;65,83;74,81;73,91;79,31;78,36;79,79;78,84;80,28;79,32;81,27;80,30;81,78;80,80;82,29;81,30;82,81;81,81;83,33;82,33;84,40;83,38;84,94;83,92;85,49;84,47;89,91;90,74;103,12;102,18;109,32;108,33;109,98;108,99;110,66;109,66;112,02;111,01;112,73;111,70;113,43;112,39;114,14;113,10;114,86;113,82;116,34;115,27;117,08;116,01;117,84;116,77;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha;
ACECLOFENACO;73.663.650/0001-90;RANBAXY FARMACÊUTICA LTDA;529900101113114;1235201000025;7897076909312;    -     ;    -     ;ACECLOFENACO;100 MG COM REV CT STR AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;29,88;30,24;34,36;33,95;36,43;36,00;36,65;36,21;36,88;36,44;37,33;36,89;37,57;37,11;37,80;37,35;38,04;37,58;38,28;37,82;38,77;38,30;39,02;38,55;39,27;38,80;41,30;41,68;47,36;46,93;50,21;49,77;50,52;50,06;50,84;50,38;51,46;51,00;51,79;51,30;52,10;51,63;52,43;51,95;52,76;52,28;53,44;52,95;53,79;53,29;54,13;53,64;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACECLOFENACO;73.663.650/0001-90;RANBAXY FARMACÊUTICA LTDA;529900102111115;1235201000033;7897076909343;    -     ;    -     ;ACECLOFENACO;100 MG COM REV CT STR AL X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;55,91;56,59;64,31;63,54;68,18;67,36;68,59;67,77;69,01;68,18;69,86;69,03;70,30;69,45;70,74;69,89;71,18;70,33;71,63;70,77;72,55;71,68;73,02;72,14;73,49;72,61;77,29;78,00;88,64;87,84;93,98;93,12;94,54;93,69;95,12;94,25;96,29;95,43;96,90;96,01;97,51;96,62;98,11;97,23;98,73;97,84;100,00;99,09;100,65;99,73;101,30;100,38;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACECLOFENACO;02.814.497/0001-07;CIMED INDUSTRIA S.A;506421060048806;1438102140179;7896523227092;    -     ;    -     ;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;29,90;30,26;34,39;33,97;36,46;36,02;36,68;36,24;36,90;36,46;37,36;36,91;37,59;37,14;37,83;37,37;38,06;37,61;38,30;37,84;38,79;38,33;39,05;38,58;39,30;38,83;41,33;41,71;47,40;46,96;50,26;49,80;50,56;50,10;50,86;50,40;51,50;51,03;51,81;51,34;52,14;51,66;52,46;51,99;52,79;52,31;53,47;52,99;53,83;53,33;54,17;53,68;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACECLOFENACO;05.254.971/0001-81;ZYDUS NIKKHO FARMACÊUTICA LTDA;536218030008706;1565100640011;7898940658800;    -     ;    -     ;ACECLOFENACO;100 MG COM CT BL AL/AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;Regulado;32,48;32,87;37,35;36,90;39,60;39,13;39,84;39,36;40,09;39,60;40,58;40,09;40,83;40,34;41,09;40,59;41,35;40,85;41,61;41,11;42,14;41,64;42,41;41,90;42,69;42,18;44,90;45,31;51,48;51,01;54,58;54,09;54,92;54,41;55,26;54,74;55,94;55,42;56,28;55,77;56,64;56,11;57,00;56,47;57,36;56,83;58,09;57,56;58,46;57,92;58,84;58,31;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACECLOFENACO;05.044.984/0001-26;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;538813080046904;1677300650101;7896004722726;    -     ;    -     ;ACECLO-GRAN;100 MG COM REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;Regulado;38,60;39,07;44,40;43,86;47,07;46,51;47,36;46,79;47,65;47,07;48,23;47,66;48,53;47,95;48,84;48,25;49,14;48,55;49,46;48,86;50,09;49,49;50,41;49,81;50,74;50,13;53,36;53,85;61,20;60,63;64,88;64,30;65,28;64,68;65,68;65,07;66,48;65,89;66,89;66,29;67,32;66,70;67,73;67,12;68,18;67,55;69,04;68,42;69,48;68,86;69,94;69,30;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEPONATO DE METILPREDNISOLONA;11.424.477/0001-10;LEO PHARMA LTDA;541121020002517;1856900100011;5702191025583;    -     ;    -     ;ADVANTAN;1 MG/G CREM DERM CT BG AL X 15 G;D7A - CORTICOESTERÓIDES TÓPICOS PUROS;Novo;Regulado;49,59;55,54;63,11;56,35;66,92;59,75;67,32;60,11;67,73;60,47;68,57;61,22;68,99;61,60;69,43;61,99;69,86;62,38;70,30;62,77;71,21;63,58;71,66;63,99;72,13;64,40;68,55;74,50;84,66;77,90;89,77;82,60;90,31;83,10;90,86;83,60;91,98;84,63;92,55;85,16;93,14;85,70;93,71;86,24;94,30;86,78;95,53;87,90;96,13;88,46;96,76;89,03;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
ACEPONATO DE METILPREDNISOLONA;11.424.477/0001-10;LEO PHARMA LTDA;541121020002617;1856900100054;5702191025538;    -     ;    -     ;ADVANTAN;1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML;D7A - CORTICOESTERÓIDES TÓPICOS PUROS;Novo;Regulado;67,92;76,07;86,44;77,18;91,65;81,83;92,21;82,33;92,77;82,83;93,91;83,85;94,50;84,37;95,09;84,90;95,69;85,43;96,29;85,97;97,53;87,08;98,15;87,64;98,79;88,21;93,89;102,05;115,96;106,70;122,95;113,13;123,70;113,82;124,45;114,51;125,98;115,92;126,77;116,64;127,56;117,37;128,36;118,10;129,17;118,85;130,83;120,38;131,66;121,16;132,52;121,95;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
ACEPONATO DE METILPREDNISOLONA;11.424.477/0001-10;LEO PHARMA LTDA;541121020002717;1856900100070;5702191025590;    -     ;    -     ;ADVANTAN;1 MG/G EMU DERM CT BG AL X 20 G;D7A - CORTICOESTERÓIDES TÓPICOS PUROS;Novo;Regulado;63,53;71,15;80,85;72,19;85,72;76,54;86,24;77,00;86,77;77,47;87,84;78,43;88,39;78,92;88,94;79,41;89,50;79,91;90,06;80,41;91,22;81,44;91,81;81,97;92,40;82,50;87,82;95,45;108,46;99,80;114,99;105,81;115,69;106,45;116,40;107,10;117,83;108,42;118,57;109,10;119,31;109,78;120,06;110,47;120,81;111,16;122,37;112,59;123,16;113,32;123,95;114,05;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha;
ACETATO DE ABIRATERONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;523719020039704;1003302030018;7896094210189;    -     ;    -     ;ZOSTIDE;250 MG COM CT BL AL PLAS PVC/PVDC TRANS X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;Regulado;10894,90;12202,29;13866,24;12380,58;14701,55;13126,38;14790,65;13205,94;14880,84;13286,46;15064,56;13450,49;15158,12;13534,04;15252,86;13618,62;15348,80;13704,27;15445,94;13791,02;15643,96;13967,81;15744,90;14057,93;15847,13;14149,21;15061,56;16368,94;18601,07;17115,43;19721,61;18146,45;19841,13;18256,44;19962,12;18367,75;20208,57;18594,51;20334,08;18710,02;20461,17;18826,94;20589,87;18945,35;20720,18;19065,28;20985,82;19309,68;21121,22;19434,26;21258,36;19560,45;Não;Sim;Não;Não;;Negativa;Sim;Tarja Vermelha;
ACETATO DE ABIRATERONA;61.190.096/0001-92;EUROFARMA LABORATORIOS S.A.;508018120124204;1004312590022;7891317003814;    -     ;    -     ;MATIZ;250 MG COM CT BL AL PLAS TRANS X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;Regulado;11149,38;12487,31;14190,13;12669,76;15044,95;13432,99;15136,13;13514,40;15228,42;13596,81;15416,43;13764,66;15512,19;13850,16;15609,14;13936,72;15707,31;14024,37;15806,72;14113,15;16009,37;14294,07;16112,66;14386,29;16217,28;14479,71;15413,37;16751,28;19035,55;17515,20;20182,26;18570,32;20304,58;18682,87;20428,38;18796,79;20680,59;19028,83;20809,05;19147,03;20939,11;19266,70;21070,80;19387,87;21204,15;19510,60;21476,00;19760,71;21614,56;19888,20;21754,90;20017,35;Não;Sim;Não;Não;;Negativa;Sim;Tarja Vermelha;
ACETATO DE ABIRATERONA;61.286.647/0001-16;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;511520020070707;1004706190015;7897595633545;    -     ;    -     ;ACETATO DE ABIRATERONA;250 MG COM CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Genérico;Regulado;7336,32;8216,68;9337,14;8336,73;9899,61;8838,94;9959,61;8892,51;10020,34;8946,73;10144,05;9057,18;10207,06;9113,44;10270,85;9170,40;10335,45;9228,07;10400,86;9286,48;10534,20;9405,53;10602,17;9466,22;10671,01;9527,68;10142,03;11022,38;12525,44;11525,04;13279,97;12219,32;13360,46;12293,37;13441,93;12368,33;13607,88;12521,02;13692,41;12598,80;13777,98;12677,54;13864,64;12757,27;13952,38;12838,01;14131,25;13002,59;14222,43;13086,49;14314,78;13171,46;Não;Sim;Não;Não;;Negativa;Sim;Tarja Vermelha;
ACETATO DE ABIRATERONA;44.734.671/0001-51;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;506723010097304;1029805760011;7896676438888;    -     ;    -     ;ABMETHA;250 MG COM CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;Regulado;10132,66;11348,58;12896,12;11514,39;13672,98;12208,02;13755,85;12282,01;13839,73;12356,90;14010,59;12509,45;14097,61;12587,15;14185,73;12665,82;14274,95;12745,48;14365,29;12826,15;14549,46;12990,58;14643,33;13074,39;14738,41;13159,29;14007,81;15223,72;17299,69;15917,97;18341,82;16876,87;18452,98;16979,16;18565,51;17082,69;18794,71;17293,58;18911,44;17401,00;19029,65;17509,75;19149,34;17619,88;19270,53;17731,40;19517,58;17958,71;19643,51;18074,58;19771,05;18191,95;Não;Sim;Não;Não;;Negativa;Sim;Tarja Vermelha;
ACETATO DE ABIRATERONA;44.363.661/0001-57;GLENMARK FARMACÊUTICA LTDA;521924100022606;1101303000015;7897473200005;    -     ;    -     ;ACETATO DE ABIRATERONA;500 MG COM REV CT FR PLAS PEAD OPC X 60;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Genérico;Regulado;7336,24;8216,59;9337,04;8336,64;9899,50;8838,84;9959,50;8892,41;10020,23;8946,63;10143,94;9057,08;10206,94;9113,34;10270,74;9170,30;10335,34;9227,97;10400,75;9286,38;10534,09;9405,43;10602,06;9466,11;10670,89;9527,58;10141,92;11022,26;12525,31;11524,92;13279,83;12219,18;13360,31;12293,24;13441,78;12368,19;13607,73;12520,88;13692,25;12598,66;13777,83;12677,40;13864,49;12757,13;13952,24;12837,88;14131,11;13002,46;14222,29;13086,34;14314,62;13171,32;Não;Sim;Não;Não;;Negativa;Não;Tarja Vermelha;
ACETATO DE ABIRATERONA;44.363.661/0001-57;GLENMARK FARMACÊUTICA LTDA;521924120022704;1101303030011;7897473200326;    -     ;    -     ;SPYLGLEN;500 MG COM REV CT FR PLAS PEAD OPC X 60;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;Regulado;9969,44;11165,77;12688,38;11328,91;13452,73;12011,36;13534,26;12084,17;13616,79;12157,85;13784,90;12307,94;13870,52;12384,39;13957,21;12461,79;14045,00;12540,16;14133,89;12619,54;14315,09;12781,32;14407,45;12863,78;14501,00;12947,31;13782,16;14978,48;17021,01;15661,55;18046,36;16605,00;18155,73;16705,66;18266,44;16807,51;18491,95;17015,01;18606,81;17120,69;18723,10;17227,69;18840,87;17336,04;18960,11;17445,77;19203,18;17669,43;19327,08;17783,42;19452,58;17898,90;Não;Sim;Não;Não;;Negativa;Não;Tarja Vermelha;
ACETATO DE ABIRATERONA;51.780.468/0001-87;JANSSEN-CILAG FARMACEUTICA LTDA;514512020025102;1123634010019;7896212424351;    -     ;    -     ;ZYTIGA;250 MG COM CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Novo;Regulado;11451,58;12825,77;14574,74;13013,17;15452,73;13797,08;15546,39;13880,70;15641,18;13965,34;15834,29;14137,74;15932,63;14225,56;16032,21;14314,47;16133,05;14404,49;16235,15;14495,67;16443,29;14681,51;16549,39;14776,22;16656,84;14872,17;15831,14;17205,31;19551,49;17989,94;20729,29;19073,65;20854,93;19189,25;20982,09;19306,26;21241,14;19544,60;21373,06;19666,00;21506,64;19788,92;21641,91;19913,36;21778,88;20039,41;22058,09;20296,33;22200,42;20427,26;22344,56;20559,90;Não;Sim;Não;Não;;Negativa;Sim;Tarja Vermelha;
