SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12 %;PF 12 %  ALC;PF 17 %;PF 17 %  ALC;PF 17,5 %;PF 17,5 %  ALC;PF 18 %;PF 18 %  ALC;PF 19 %;PF 19 %  ALC;PF 19,5 %;PF 19,5 %  ALC;PF 20 %;PF 20 %  ALC;PF 20,5 %;PF 20,5 %  ALC;PF 21 %;PF 21 %  ALC;PF 22 %;PF 22 %  ALC;PF 22,5 %;PF 22,5 %  ALC;PF 23 %;PF 23 %  ALC;PMC Sem Impostos;PMC 0 %;PMC 12 %;PMC 12 %  ALC;PMC 17 %;PMC 17 %  ALC;PMC 17,5 %;PMC 17,5 %  ALC;PMC 18 %;PMC 18 %  ALC;PMC 19 %;PMC 19 %  ALC;PMC 19,5 %;PMC 19,5 %  ALC;PMC 20 %;PMC 20 %  ALC;PMC 20,5 %;PMC 20,5 %  ALC;PMC 21 %;PMC 21 %  ALC;PMC 22 %;PMC 22 %  ALC;PMC 22,5 %;PMC 22,5 %  ALC;PMC 23 %;PMC 23 %  ALC;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2025;TARJA;DESTINAÇÃO COMERCIAL
ACEBROFILINA;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;526116090097406;1058303150049;7896004710495;    -     ;    -     ;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;Regulado;26,21;26,53;30,15;29,79;31,96;31,58;32,16;31,77;32,35;31,97;32,75;32,36;32,96;32,56;33,16;32,76;33,37;32,97;33,58;33,18;34,01;33,60;34,23;33,82;34,45;34,04;36,24;36,57;41,56;41,18;44,05;43,66;44,33;43,92;44,59;44,20;45,14;44,74;45,43;45,01;45,71;45,29;46,00;45,58;46,29;45,87;46,88;46,45;47,18;46,75;47,49;47,06;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;17.562.075/0001-69;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;506324080043904;1156001860019;7898495607872;    -     ;    -     ;BRONCOMUCOL;10 MG/ML XPE CT FR VD AMB X 120 ML + COP ;R5C - EXPECTORANTES;Similar;Regulado;23,89;24,18;27,48;27,15;29,13;28,78;29,31;28,96;29,49;29,13;29,85;29,49;30,04;29,68;30,23;29,86;30,42;30,05;30,61;30,24;31,00;30,63;31,20;30,83;31,40;31,03;33,03;33,33;37,88;37,53;40,15;39,79;40,40;40,04;40,65;40,27;41,15;40,77;41,41;41,03;41,67;41,28;41,93;41,54;42,19;41,81;42,73;42,34;43,01;42,62;43,28;42,90;Não;Não;Não;Não;;Positiva;Não;- (*) ;
ACEBROFILINA;17.562.075/0001-69;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;506324080044004;1156001860027;7898495607803;    -     ;    -     ;BRONCOMUCOL;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;Regulado;17,13;17,34;19,70;19,47;20,89;20,64;21,02;20,77;21,15;20,89;21,41;21,15;21,54;21,28;21,68;21,41;21,81;21,55;21,95;21,69;22,23;21,96;22,37;22,11;22,52;22,25;23,68;23,90;27,15;26,92;28,79;28,53;28,97;28,71;29,15;28,88;29,51;29,24;29,69;29,42;29,88;29,60;30,06;29,79;30,26;29,99;30,64;30,36;30,83;30,57;31,04;30,76;Não;Não;Não;Não;;Positiva;Não;- (*) ;
ACEBROFILINA;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023020084517;1181902750028;7895296271042;    -     ;    -     ;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;Regulado;20,18;20,43;23,22;22,94;24,61;24,32;24,76;24,47;24,91;24,62;25,22;24,92;25,38;25,07;25,54;25,23;25,70;25,39;25,86;25,55;26,19;25,88;26,36;26,04;26,53;26,21;27,90;28,16;32,01;31,71;33,92;33,62;34,13;33,83;34,34;34,04;34,76;34,45;34,98;34,66;35,20;34,88;35,42;35,10;35,65;35,32;36,10;35,78;36,33;36,00;36,57;36,23;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;92.265.552/0009-05;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;607023020084617;1181902750044;7895296271035;    -     ;    -     ;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;Regulado;29,84;30,20;34,32;33,91;36,39;35,95;36,61;36,17;36,83;36,39;37,28;36,84;37,52;37,07;37,75;37,30;37,99;37,53;38,23;37,77;38,72;38,25;38,97;38,50;39,22;38,75;41,25;41,63;47,31;46,88;50,16;49,70;50,46;50,00;50,77;50,31;51,39;50,93;51,72;51,25;52,03;51,57;52,37;51,88;52,70;52,21;53,37;52,88;53,72;53,22;54,06;53,57;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;73.856.593/0001-66;PRATI DONADUZZI & CIA LTDA;528525712137112;1256801590128;7898148292790;    -     ;    -     ;ACEBROFILINA;5 MG/ML XPE CX 50 FR PLAS PEAD OPC X 120 ML + 50 COP;R5C - EXPECTORANTES;Genérico;Regulado;578,67;585,70;665,57;657,58;705,66;697,19;709,94;701,42;714,27;705,70;723,09;714,41;727,58;718,85;732,13;723,34;736,73;727,89;741,39;732,50;750,90;741,89;755,74;746,67;760,65;751,52;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;02.814.497/0001-07;CIMED INDUSTRIA S.A;506409801136113;1438101310011;7896523209111;    -     ;    -     ;ACEBROFILINA;10 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;Regulado;25,16;25,47;28,94;28,60;30,69;30,32;30,87;30,50;31,06;30,69;31,44;31,07;31,64;31,26;31,84;31,46;32,04;31,65;32,24;31,85;32,65;32,26;32,86;32,47;33,08;32,68;34,79;35,11;39,89;39,54;42,30;41,92;42,55;42,16;42,81;42,43;43,34;42,95;43,61;43,22;43,89;43,49;44,16;43,75;44,44;44,03;45,00;44,60;45,29;44,89;45,60;45,18;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;02.814.497/0001-07;CIMED INDUSTRIA S.A;506409802132111;1438101310021;7896523209128;    -     ;    -     ;ACEBROFILINA;5 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;Regulado;18,14;18,36;20,86;20,61;22,12;21,86;22,25;21,99;22,39;22,12;22,67;22,39;22,81;22,53;22,95;22,67;23,09;22,82;23,24;22,96;23,54;23,26;23,69;23,41;23,84;23,56;25,08;25,31;28,75;28,49;30,49;30,22;30,67;30,40;30,86;30,58;31,25;30,95;31,44;31,15;31,63;31,34;31,83;31,55;32,03;31,74;32,45;32,16;32,65;32,36;32,86;32,57;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;02.814.497/0001-07;CIMED INDUSTRIA S.A;506414100028706;1438101310038;7896523209098;    -     ;    -     ;ACEBROFILINA;10 MG/ML XPE CX 50 FR PLAS PET AMB X 120 ML + 50 COP;R5C - EXPECTORANTES;Genérico;Regulado;470,67;476,39;541,35;534,86;573,96;567,08;577,44;570,51;580,96;573,99;588,14;581,08;591,79;584,69;595,49;588,34;599,23;592,04;603,03;595,79;610,76;603,43;614,70;607,32;618,69;611,26;650,68;656,65;746,19;739,41;791,14;783,95;795,94;788,70;800,79;793,51;810,69;803,31;815,72;808,30;820,82;813,35;825,98;818,46;831,21;823,64;841,87;834,21;847,30;839,58;852,80;845,03;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;02.814.497/0001-07;CIMED INDUSTRIA S.A;506414100028606;1438101310046;7896523209104;    -     ;    -     ;ACEBROFILINA;5 MG/ML XPE CX 50 FR PLAS PET AMB X 120 ML + 50 COP;R5C - EXPECTORANTES;Genérico;Regulado;460,49;466,08;529,64;523,28;561,54;554,80;564,95;558,17;568,39;561,57;575,41;568,50;578,98;572,03;582,60;575,61;586,26;579,23;589,97;582,90;597,54;590,37;601,39;594,18;605,30;598,03;636,60;642,44;730,05;723,40;774,02;766,98;778,72;771,64;783,47;776,34;793,14;785,92;798,06;790,80;803,05;795,75;808,10;800,75;813,21;805,83;823,65;816,15;828,95;821,42;834,34;826,74;Não;Não;Não;Não;(2);Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;510413402133412;1542301160018;7899095203594;    -     ;    -     ;BRONTEK;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;Regulado;36,75;37,20;42,27;41,77;44,82;44,28;45,09;44,55;45,37;44,82;45,93;45,37;46,21;45,66;46,50;45,94;46,79;46,23;47,09;46,52;47,69;47,12;48,00;47,42;48,31;47,73;50,81;51,28;58,26;57,74;61,78;61,21;62,15;61,59;62,54;61,96;63,31;62,72;63,70;63,12;64,10;63,51;64,50;63,91;64,91;64,31;65,74;65,14;66,16;65,56;66,59;65,98;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;510413401137414;1542301160034;7899095203600;    -     ;    -     ;BRONTEK;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;Regulado;26,37;26,69;30,33;29,97;32,16;31,77;32,35;31,96;32,55;32,16;32,95;32,56;33,16;32,76;33,36;32,96;33,57;33,17;33,78;33,38;34,22;33,81;34,44;34,03;34,66;34,25;36,45;36,79;41,81;41,43;44,33;43,92;44,59;44,18;44,87;44,46;45,42;45,01;45,71;45,29;45,98;45,57;46,27;45,86;46,56;46,15;47,17;46,74;47,47;47,04;47,78;47,35;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;510413301132119;1542301230016;7899095233027;    -     ;    -     ;ACEBROFILINA;10MG/ML XPE CT FR VD AMB X 120ML + COP;R5C - EXPECTORANTES;Genérico;Regulado;29,78;30,14;34,25;33,84;36,31;35,88;36,53;36,09;36,76;36,32;37,21;36,76;37,44;36,99;37,68;37,22;37,91;37,46;38,15;37,69;38,64;38,18;38,89;38,42;39,14;38,67;41,17;41,54;47,21;46,78;50,05;49,60;50,35;49,89;50,67;50,21;51,29;50,82;51,61;51,14;51,94;51,45;52,25;51,79;52,59;52,10;53,26;52,78;53,61;53,11;53,95;53,46;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;510413302139117;1542301230032;7899095233034;    -     ;    -     ;ACEBROFILINA;5MG/ML XPE CT FR VD AMB X 120ML + COP;R5C - EXPECTORANTES;Genérico;Regulado;20,14;20,38;23,16;22,88;24,55;24,26;24,70;24,41;24,85;24,56;25,16;24,86;25,32;25,01;25,48;25,17;25,64;25,33;25,80;25,49;26,13;25,81;26,30;25,98;26,47;26,15;27,84;28,09;31,92;31,63;33,84;33,54;34,05;33,75;34,25;33,95;34,68;34,37;34,90;34,57;35,12;34,80;35,34;35,02;35,56;35,24;36,02;35,68;36,25;35,92;36,49;36,15;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;05.161.069/0001-10;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;504617090065718;1558403980010;7896714214115;    -     ;    -     ;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;Regulado;18,94;19,17;21,78;21,52;23,10;22,82;23,24;22,96;23,38;23,10;23,67;23,38;23,81;23,53;23,96;23,67;24,11;23,82;24,27;23,97;24,58;24,28;24,74;24,44;24,90;24,60;26,18;26,42;30,02;29,75;31,84;31,55;32,03;31,74;32,23;31,93;32,63;32,32;32,82;32,53;33,03;32,72;33,23;32,93;33,45;33,14;33,88;33,57;34,10;33,79;34,32;34,01;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
ACEBROFILINA;05.161.069/0001-10;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;504617090065618;1558403980037;7896714214146;    -     ;    -     ;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;Regulado;25,71;26,02;29,57;29,21;31,35;30,97;31,54;31,16;31,73;31,35;32,12;31,74;32,32;31,94;32,53;32,13;32,73;32,34;32,94;32,54;33,36;32,96;33,57;33,17;33,79;33,39;35,54;35,87;40,76;40,38;43,21;42,81;43,47;43,08;43,74;43,34;44,27;43,88;44,55;44,16;44,84;44,42;45,11;44,71;45,40;44,98;45,98;45,57;46,27;45,86;46,58;46,16;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;538820020071607;1677301840034;7896004710532;    -     ;    -     ;BRONCOLEX;5 MG/ML XPE INF CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;Regulado;19,98;20,22;22,98;22,70;24,36;24,07;24,51;24,21;24,66;24,36;24,96;24,66;25,12;24,82;25,28;24,97;25,43;25,13;25,59;25,29;25,92;25,61;26,09;25,78;26,26;25,94;27,62;27,87;31,68;31,38;33,58;33,28;33,78;33,47;33,99;33,68;34,40;34,09;34,63;34,31;34,85;34,52;35,05;34,74;35,27;34,96;35,73;35,40;35,96;35,64;36,20;35,86;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;538820020071707;1677301840042;7896004710549;    -     ;    -     ;BRONCOLEX;10 MG/ML XPE AD CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;Regulado;27,22;27,55;31,31;30,93;33,19;32,79;33,39;32,99;33,60;33,19;34,01;33,60;34,22;33,81;34,44;34,02;34,65;34,24;34,87;34,45;35,32;34,90;35,55;35,12;35,78;35,35;37,63;37,97;43,16;42,76;45,75;45,33;46,02;45,61;46,31;45,88;46,88;46,45;47,17;46,74;47,47;47,03;47,76;47,33;48,06;47,63;48,68;48,25;49,00;48,55;49,32;48,87;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;12.022.755/0001-76;GALLIA INDUSTRIA FARMACEUTICA LTDA;589021070000517;1887100060015;7898582271696;    -     ;    -     ;RESPIRAN;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R5C - EXPECTORANTES;Similar;Regulado;21,02;21,28;24,18;23,89;25,64;25,33;25,79;25,48;25,95;25,64;26,27;25,96;26,43;26,12;26,60;26,28;26,77;26,45;26,94;26,61;27,28;26,95;27,46;27,13;27,64;27,30;29,07;29,33;33,33;33,03;35,34;35,02;35,55;35,22;35,77;35,45;36,21;35,89;36,43;36,11;36,67;36,33;36,90;36,57;37,13;36,79;37,60;37,26;37,85;37,51;38,10;37,74;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACEBROFILINA;12.022.755/0001-76;GALLIA INDUSTRIA FARMACEUTICA LTDA;589021070000617;1887100060023;7898582271672;    -     ;    -     ;RESPIRAN;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R5C - EXPECTORANTES;Similar;Regulado;30,33;30,70;34,89;34,47;36,99;36,54;37,21;36,77;37,44;36,99;37,90;37,45;38,14;37,68;38,38;37,91;38,62;38,15;38,86;38,39;39,36;38,89;39,61;39,14;39,87;39,39;41,93;42,32;48,09;47,65;50,99;50,51;51,29;50,83;51,61;51,14;52,24;51,77;52,57;52,09;52,90;52,41;53,23;52,74;53,56;53,07;54,25;53,76;54,60;54,11;54,96;54,45;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha;
ACECLOFENACO;61.190.096/0001-92;EUROFARMA LABORATORIOS S.A.;508011303163310;1004308170014;7891317412661;    -     ;    -     ;PROFLAM;15 MG/G CREM CT TB AL X 30 G;M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS;Novo;Liberado;30,24;33,87;38,49;34,36;40,81;36,44;41,05;36,66;41,30;36,88;41,81;37,33;42,07;37,57;42,34;37,80;42,60;38,04;42,87;38,28;43,42;38,77;43,70;39,02;43,99;39,27;41,81;45,44;51,63;47,50;54,75;50,38;55,07;50,68;55,40;50,98;56,09;51,61;56,44;51,94;56,80;52,26;57,15;52,59;57,51;52,92;58,25;53,60;58,62;53,94;59,01;54,29;Não;Não;Não;Não;;Negativa;Sim;- (*) ;
ACECLOFENACO;61.190.096/0001-92;EUROFARMA LABORATORIOS S.A.;508011302116319;1004308170030;7891317411923;    -     ;    -     ;PROFLAM;100 MG COM REV CT BL AL/AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Novo;Regulado;50,04;50,65;57,56;56,87;61,02;60,29;61,39;60,66;61,77;61,03;62,53;61,78;62,92;62,16;63,31;62,55;63,71;62,95;64,11;63,34;64,94;64,16;65,35;64,57;65,78;64,99;69,18;69,82;79,34;78,62;84,11;83,35;84,62;83,86;85,14;84,37;86,19;85,41;86,73;85,93;87,27;86,47;87,82;87,02;88,37;87,56;89,51;88,70;90,08;89,26;90,67;89,84;Não;Não;Não;Não;;Positiva;Sim;- (*) ;
